"青沥备开内靛","state.han.","city.han.","city2.han.","困档","版档","惯钎矫埃","浅氢","浅加","扁柯","嚼档","碍荐樊"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 15:00","辑","0.7","4.1","46","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 16:00","合","0.3","3.6","46","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 17:00","合辑","0","3.1","49","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 18:00","合","0","1.4","59","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 19:00","合辑","0.4","1.1","60","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 20:00","合","0","1.4","49","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 21:00","合","0","0.7","53","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 22:00","辑","0","0.8","50","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-12 23:00","合","0","-0.1","59","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 0:00","合","0","-0.5","64","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 1:00","合","0","-1.2","68","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 2:00","合","0","-2.8","79","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 3:00","合","0","-3.9","90","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 4:00","合","0","-4.8","93","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 5:00","合","0","-5.5","95","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 6:00","合","0","-5.9","97","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 7:00","合","0","-6.2","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 8:00","合","0","-4","86","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 9:00","合","0","-1.7","61","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 10:00","合辑","0.4","0.3","41","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 11:00","合辑","1","2.1","36","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 12:00","合","2.3","3.6","37","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 13:00","合辑","1.3","3.5","35","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 14:00","合辑","1.6","3.8","35","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 15:00","合辑","2.7","3.1","37","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 16:00","合辑","0.3","2.6","37","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 17:00","合辑","0.9","1.6","38","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 18:00","合辑","0","0.6","42","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 19:00","合","0","-0.2","39","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 20:00","合","0","-1.3","46","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 21:00","合","0.7","-1.6","46","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 22:00","合","0","-1.7","47","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-13 23:00","辑","0","-2.1","52","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 0:00","合","0","-2.4","56","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 1:00","合","0","-2.8","65","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 2:00","合","0","-2.8","57","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 3:00","合","0","-3.3","71","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 4:00","合","0","-3.6","77","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 5:00","合","0","-4","75","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 6:00","合","0","-4.8","79","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 7:00","合","0","-5.1","83","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 8:00","合","0","-3.1","73","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 9:00","合","0","-1.5","53","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 10:00","合","0","0.4","43","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 11:00","巢","0.1","3.3","39","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 12:00","合悼","0.2","3.8","39","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 13:00","合","0.3","5.5","41","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 14:00","合","0.4","6.6","37","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 15:00","合","0.3","7.1","36","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 16:00","合辑","0.5","6.6","32","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 17:00","合悼","0.2","5.3","36","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 18:00","合","0","1.6","54","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 19:00","合","0","-0.2","67","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 20:00","合","0","-1","70","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 21:00","合","0","-1.2","72","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 22:00","悼","0.1","-0.9","74","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-14 23:00","合","0","-0.4","66","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 0:00","合","0","-1.3","72","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 1:00","合","0","-1.8","77","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 2:00","合","0","-2.1","80","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 3:00","合","0","-2.3","84","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 4:00","合","0","-1.5","75","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 5:00","合","0","-1.1","74","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 6:00","合","0","-1.2","78","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 7:00","合","0","-1","76","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 8:00","合","0","0.1","63","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 9:00","合辑","1.3","0.7","58","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 10:00","合","0","1.8","56","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 11:00","辑","0.5","3.4","39","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 12:00","合辑","1.2","3.7","41","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 13:00","合辑","0.9","3.7","49","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 14:00","合辑","1.6","3.7","51","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 15:00","辑","1.9","3.9","49","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 16:00","巢辑","1.3","3.6","54","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 17:00","巢辑","1.7","3.4","63","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 18:00","合辑","0.7","2.9","74","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 19:00","辑","0.5","2.3","87","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 20:00","辑","0.6","2.1","89","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 21:00","辑","0","1.7","84","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 22:00","合辑","2.5","1.5","85","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-15 23:00","合辑","2.5","0.8","83","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 0:00","合辑","0.8","0.7","80","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 1:00","合辑","2.8","0.2","87","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 2:00","合悼","0.2","0.2","79","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 3:00","合辑","2.1","-0.4","81","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 4:00","合辑","1.1","-0.6","80","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 5:00","合辑","2.5","-0.9","77","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 6:00","合辑","2","-1","73","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 7:00","合辑","2.2","-1.7","86","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 8:00","合","1.6","-2.6","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 9:00","合辑","2","-2.5","98","0.5"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 10:00","合","2.4","-2.1","85","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 11:00","合辑","2.5","-2.1","91","0.5"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 12:00","合","1.2","-0.4","78","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 13:00","合","1.5","-0.9","73","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 14:00","合","0.3","0.8","56","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 15:00","合","0","1.3","56","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 16:00","合","0.1","0.9","57","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 17:00","合","0","0.1","59","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 18:00","合","0","-1.4","68","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 19:00","合","0","-2","72","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 20:00","合","0","-3.3","77","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 21:00","合","0","-3.3","81","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 22:00","合","0","-4.8","93","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-16 23:00","合","0","-5.3","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 0:00","合","0","-5.7","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 1:00","合","0","-6.1","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 2:00","合","0","-5.6","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 3:00","合","0","-6.1","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 4:00","合","0","-6.9","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 5:00","合","0","-7.3","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 6:00","合","0","-7.8","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 7:00","合","0","-8.1","98","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 8:00","合","0","-5.2","96","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 9:00","合","0","-2.1","65","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 10:00","巢辑","0.2","0","55","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 11:00","合辑","0.4","1","46","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 12:00","合辑","0.6","2.3","42","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 13:00","合辑","1","3","37","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 14:00","合辑","1","4.3","33","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 15:00","合辑","0.6","5","31","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 16:00","合辑","0.2","4.9","33","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-17 17:00","合","0","3.6","38","0"
